"Item","Total","Missing","Available"
"Acacia Log",628,628,0
"Acacia Sapling",1,1,0
"Activator Rail",49,49,0
"Azalea",1,1,0
"Barrel",23,23,0
"Bell",15,15,0
"Birch Log",1,1,0
"Birch Sapling",1,1,0
"Birch Sign",2,2,0
"Block of Redstone",207,207,0
"Blue Ice",221,221,0
"Cherry Log",2,2,0
"Cherry Sapling",1,1,0
"Chest",88,88,0
"Cobweb",3,3,0
"Composter",53,53,0
"Crafter",5,5,0
"Detector Rail",9,9,0
"Dirt",4,4,0
"Dispenser",14,14,0
"Dropper",193,193,0
"Flower Pot",7,7,0
"Glow Berries",2,2,0
"Gray Glazed Terracotta",10,10,0
"Heavy Weighted Pressure Plate",1,1,0
"Honey Block",97,97,0
"Hopper",352,352,0
"Iron Chain",16,16,0
"Iron Door",6,6,0
"Iron Trapdoor",54,54,0
"Jungle Log",1,1,0
"Jungle Sapling",1,1,0
"Ladder",5,5,0
"Lever",12,12,0
"Lightning Rod",1,1,0
"Magenta Glazed Terracotta",12,12,0
"Moss Block",115,115,0
"Note Block",147,147,0
"Oak Log",1,1,0
"Oak Sapling",1,1,0
"Observer",638,638,0
"Obsidian",547,547,0
"Piston",307,307,0
"Purpur Block",1,1,0
"Quartz Slab",20,20,0
"Quartz Stairs",56,56,0
"Redstone Comparator",130,130,0
"Redstone Dust",557,557,0
"Redstone Lamp",12,12,0
"Redstone Repeater",238,238,0
"Redstone Torch",84,84,0
"Scaffolding",45,45,0
"Sea Pickle",2,2,0
"Shroomlight",12,12,0
"Shulker Box",3,3,0
"Slime Block",217,217,0
"Soul Sand",25,25,0
"Spruce Door",1,1,0
"Spruce Fence Gate",14,14,0
"Spruce Leaves",14,14,0
"Spruce Log",1,1,0
"Spruce Planks",18,18,0
"Spruce Sapling",1,1,0
"Spruce Sign",12,12,0
"Spruce Stairs",7,7,0
"Spruce Trapdoor",143,143,0
"Sticky Piston",362,362,0
"Stone Brick Wall",32,32,0
"Stone Button",173,173,0
"Stonecutter",1,1,0
"Stripped Spruce Log",108,108,0
"TNT",8,8,0
"Target",39,39,0
"Trapped Chest",4,4,0
"Water Bucket",64,64,0
"White Concrete",519,519,0
"White Stained Glass",1991,1991,0
"White Stained Glass Pane",42,42,0
